name,type,deadline,prize_amount,location,focus_area,entry_fee,team_size,website,status
AI for Global Good Hackathon 2025,hackathon,2025-02-10,$50000,Virtual,AI/Social Impact,$0,1-4,https://aiglobal.devpost.com,Active
Web3 Infrastructure Challenge,hackathon,2025-02-20,$100000,San Francisco,Blockchain/Infrastructure,$0,2-6,https://web3infra.devpost.com,Active
Sustainable Tech Innovators 2025,hackathon,2025-04-05,$75000,Austin,Climate Tech,$0,1-5,https://sustaintech.devpost.com,Active
Quantum Computing Challenge 2025,hackathon,2025-05-15,$25000,Virtual,Quantum/Computing,$0,1-3,https://quantum.devpost.com,Active
Healthcare AI Innovation Summit,hackathon,2025-07-01,$100000,Boston,AI/Healthcare,$0,2-8,https://healthai.devpost.com,Active
NSF AI Research Grant Program,grant,2025-03-15,$500000-$2000000,National,AI Research,$0,Institution,https://nsf.gov/ai-grants,Active
Ethereum Foundation Ecosystem Support,grant,Rolling,$10000-$500000,Global,Ethereum/Web3,$0,Any,https://esp.ethereum.foundation,Active
Open Source Technology Fund,grant,2025-06-01,$50000-$300000,Global,Open Source,$0,Any,https://opentech.fund,Active
Climate Solutions Accelerator Grant,grant,2025-05-20,$25000-$250000,Global,Climate Tech,$0,Startup,https://climatesolutions.org,Active
AI for Social Good Grant Program,grant,2025-04-30,$75000-$400000,Global,AI/Social Impact,$0,Nonprofit,https://ai4good.org,Active